goa 	 eggplant 	 hapa(kʌja)
met 	 eggplant 	 apːa
bhm 	 eggplant 	 apa
bhs 	 eggplant 	 apːa
bhb 	 eggplant 	 apːa
mso 	 eggplant 	 appaŋ
mlj 	 eggplant 	 happa
mud 	 eggplant 	 appa
rui 	 bad 	 kʰərap
grp 	 bad 	 biɡliemat
ght 	 bad 	 kʌrʌb
glb 	 bad 	 beshile
ktg 	 bad 	 kʌrab
dog 	 bad 	 kʰʌɾab
mdh 	 bad 	 bes hile
mku 	 bad 	 kʌrʌb
gni 	 bad 	 vai̯tna
lxg 	 bad 	 waːɪ̯tnʌ
get 	 bad 	 asahile, bes hile
gut 	 bad 	 tʃʰokuʈsɛlːɛ, kaɾabaːt̪ʌ
gja 	 bad 	 kʰarab, bes hile
gbh 	 bad 	 kaɾab
mal 	 bad 	 kʌrʌb
mbh 	 bad 	 melo
mad 	 bad 	 kʰʌrab
gtd 	 bad 	 asal hale
gba 	 bad 	 kʰarab, beshile
gkt 	 bad 	 tʃəkoi̯le
gok 	 bad 	 ard̆o
psh 	 bad 	 kʌrab
pmd 	 bad 	 atʃa hila
pkh 	 bad 	 kʌrab
gcj 	 bad 	 kʌrab
ggg 	 bad 	 karap
khu 	 bad 	 atʃailət
bhe 	 bad 	 atʃailey
prg 	 bad 	 karab
gka 	 bad 	 kharab
gse 	 bad 	 bekaɾ
gra 	 bad 	 tʃokoɾ sile
gki 	 bad 	 kʰʌɾ
gar 	 bad 	 karap
gam 	 bad 	 wait, karap
gwa 	 bad 	 tʃəko həley
gch 	 bad 	 buʈe
gdh 	 bad 	 buro
goa 	 bad 	 kⁿʌɾab, bɛsʌhille
met 	 bad 	 kʰʌɾab
bhm 	 bad 	 opːo
bhs 	 bad 	 biːɖo
bhb 	 bad 	 opːo
mso 	 bad 	 ʌɾo
mlj 	 bad 	 ʌtʃahile
mud 	 bad 	 hʌɾo
rui 	 cloud 	 habar
grp 	 cloud 	 dʰʌɡ
ght 	 cloud 	 dʰʌɡ
glb 	 cloud 	 bʌdli
ktg 	 cloud 	 badɛl
dog 	 cloud 	 habar
mdh 	 cloud 	 dʰʌɡ
mku 	 cloud 	 abar
gni 	 cloud 	 abar
lxg 	 cloud 	 mʌbːu
get 	 cloud 	 mʌbu
gut 	 cloud 	 tʌpʌʔ
gja 	 cloud 	 abʰar, mʌbu
gbh 	 cloud 	 mabɖu
mal 	 cloud 	 moi̯yuli
mbh 	 cloud 	 mabʰi
mad 	 cloud 	 moul
gtd 	 cloud 	 badɛl
gba 	 cloud 	 mʌbu
gkt 	 cloud 	 -----
gok 	 cloud 	 tetu
psh 	 cloud 	 badʌl
pmd 	 cloud 	 badʌl
pkh 	 cloud 	 badʌl
gcj 	 cloud 	 badʌl
ggg 	 cloud 	 bədli
khu 	 cloud 	 bədli
bhe 	 cloud 	 bədli
prg 	 cloud 	 bədla
gka 	 cloud 	 dhəɡʰ
gse 	 cloud 	 dɦəɡɦ
gra 	 cloud 	 habaɾ at̪a
gki 	 cloud 	 dʰəɡ
gar 	 cloud 	 badl
gam 	 cloud 	 aβar
gwa 	 cloud 	 bədli
gch 	 cloud 	 bədəli
gdh 	 cloud 	 badəl
goa 	 cloud 	 mabuʔ
met 	 cloud 	 maʔul
bhm 	 cloud 	 mojoːl
bhs 	 cloud 	 mojːoːl
bhb 	 cloud 	 mojːoːl
mso 	 cloud 	 kuhɾa
mlj 	 cloud 	 bad̪eɾ
mud 	 cloud 	 -----
rui 	 broken 	 wort̪a
grp 	 broken 	 ortal
ght 	 broken 	 numtal
glb 	 broken 	 wʌruntu
ktg 	 broken 	 worta
dog 	 broken 	 worta
mdh 	 broken 	 orta
mku 	 broken 	 worta
gni 	 broken 	 βort̪a
lxg 	 broken 	 wort̪ʌ
get 	 broken 	 pait̪ha, orta
gut 	 broken 	 uɾuŋtʌ
gja 	 broken 	 (ɡʌndʒə)orta
gbh 	 broken 	 uɾuɡʰi
mal 	 broken 	 varita
mbh 	 broken 	 u̯iɾɣt̪e
mad 	 broken 	 woŋ(ʃet̪ʌ)
gtd 	 broken 	 warta
gba 	 broken 	 paitha
gkt 	 broken 	 urt̪a
gok 	 broken 	 worta
psh 	 broken 	 wartaɭ
pmd 	 broken 	 warsit
pkh 	 broken 	 wartaɭ
gcj 	 broken 	 urtul
ggg 	 broken 	 ortal
khu 	 broken 	 urtal
bhe 	 broken 	 orsita
prg 	 broken 	 orsat
gka 	 broken 	 woɾtu
gse 	 broken 	 numtaɭ
gra 	 broken 	 t̪iut̪a
gki 	 broken 	 woɾt̪a
gar 	 broken 	 wortal
gam 	 broken 	 ortal
gwa 	 broken 	 wortal
gch 	 broken 	 orsat
gdh 	 broken 	 urunta
goa 	 broken 	 urʌnt̪a
met 	 broken 	 ʋeɾit̪a
bhm 	 broken 	 uɾuŋɡt̪ʌ
bhs 	 broken 	 oːɾʈi
bhb 	 broken 	 uɾuŋt̪a
mso 	 broken 	 oht̪t̪u
mlj 	 broken 	 oɾt̪a
mud 	 broken 	 ʌɾo
rui 	 how_many 	 bəsle
grp 	 how_many 	 bʌdʒele
ght 	 how_many 	 bʌtʃuŋɡ
glb 	 how_many 	 bʌtʃo
ktg 	 how_many 	 bʌtʃokʰ
dog 	 how_many 	 bʌtʃʌɭe
mdh 	 how_many 	 bʌtʃo
mku 	 how_many 	 bʌtʃo
gni 	 how_many 	 bʌtʃole
lxg 	 how_many 	 bʌtʃəlɛ
get 	 how_many 	 bʌtʃʌku
gut 	 how_many 	 bʌtʃʰol
gja 	 how_many 	 bətsʃok
gbh 	 how_many 	 bʰatʃun
mal 	 how_many 	 betʃoku
mbh 	 how_many 	 bʰtʃoku
mad 	 how_many 	 bʌtʃot, bʌtʃun
gtd 	 how_many 	 batʃuŋe
gba 	 how_many 	 bʌtʃok
gkt 	 how_many 	 batʃu
gok 	 how_many 	 bʌtʃon
psh 	 how_many 	 bʌtʃər
pmd 	 how_many 	 bʌtʃʌr
pkh 	 how_many 	 bʌtʃər
gcj 	 how_many 	 bʌtʃər
ggg 	 how_many 	 bətʃolo
khu 	 how_many 	 bətʃo
bhe 	 how_many 	 bətʃo
prg 	 how_many 	 bətʃo
gka 	 how_many 	 batʃale
gse 	 how_many 	 batʃoŋ
gra 	 how_many 	 bʌtʃʌle
gki 	 how_many 	 bʌtʃəɭe
gar 	 how_many 	 bətʃol(ə)
gam 	 how_many 	 bətʃolə
gwa 	 how_many 	 bətʃoŋ
gch 	 how_many 	 bətʃo
gdh 	 how_many 	 bəttʃo
goa 	 how_many 	 bʌtʃʌr
met 	 how_many 	 bʌtʃok
bhm 	 how_many 	 betʃoːɾ
bhs 	 how_many 	 besoːɾ
bhb 	 how_many 	 betjoɾ
mso 	 how_many 	 bʌtʃok
mlj 	 how_many 	 bʌtʃk
mud 	 how_many 	 bʌtʃo
rui 	 cow 	 mura
grp 	 cow 	 mura
ght 	 cow 	 mula
glb 	 cow 	 mula
ktg 	 cow 	 tali
dog 	 cow 	 moɾa
mdh 	 cow 	 mure
mku 	 cow 	 mure
gni 	 cow 	 muɽʌ
lxg 	 cow 	 muːrʌ
get 	 cow 	 ɡuradu
gut 	 cow 	 muːɾʌ
gja 	 cow 	 mura
gbh 	 cow 	 pelˑa
mal 	 cow 	 mure
mbh 	 cow 	 d̪uda
mad 	 cow 	 mure
gtd 	 cow 	 t̪ali
gba 	 cow 	 ɡurdu
gkt 	 cow 	 tali
gok 	 cow 	 tali
psh 	 cow 	 doriel
pmd 	 cow 	 dhuli
pkh 	 cow 	 doriel
gcj 	 cow 	 mul̆a
ggg 	 cow 	 muɖaŋ
khu 	 cow 	 muɖa
bhe 	 cow 	 muɖa
prg 	 cow 	 talli
gka 	 cow 	 muɖ̆a
gse 	 cow 	 mũɖa
gra 	 cow 	 muɾa
gki 	 cow 	 mura
gar 	 cow 	 muɖa
gam 	 cow 	 muɖa, talli
gwa 	 cow 	 talli
gch 	 cow 	 talli
gdh 	 cow 	 talli
goa 	 cow 	 ɡod̪u
met 	 cow 	 muɖe
bhm 	 cow 	 ɡoɖ
bhs 	 cow 	 ɡoɖ
bhb 	 cow 	 ɡoɖ
mso 	 cow 	 tʰali
mlj 	 cow 	 ʈali
mud 	 cow 	 tʰali
rui 	 he_was_thirsty 	 yer wat̪ka wəst̪a
grp 	 he_was_thirsty 	 yer undwasimata
ght 	 he_was_thirsty 	 yer undiwasi
glb 	 he_was_thirsty 	 yer undawasimatol
ktg 	 he_was_thirsty 	 wor wʌsta
dog 	 he_was_thirsty 	 waɾka wasta
mdh 	 he_was_thirsty 	 wom keruŋwʌsta
mku 	 he_was_thirsty 	 on ɛrund wʌsmata
gni 	 he_was_thirsty 	 waʈkwasta
lxg 	 he_was_thirsty 	 on kəɛːrɨ wʌtkʌwʌst̪ʌ
get 	 he_was_thirsty 	 undʌwʌsta
gut 	 he_was_thirsty 	 iɛːɾotkʌ βʌstʌ
gja 	 he_was_thirsty 	 undʌwʌsi
gbh 	 he_was_thirsty 	 d̪upa
mal 	 he_was_thirsty 	 wʌndarvista
mbh 	 he_was_thirsty 	 eɣonde aseka
mad 	 he_was_thirsty 	 undawʌstʌ
gtd 	 he_was_thirsty 	 yuhunhai̯
gba 	 he_was_thirsty 	 undʌwʌstʌ
gkt 	 he_was_thirsty 	 yer waluksitul
gok 	 he_was_thirsty 	 kisimta
psh 	 he_was_thirsty 	 (wor) piasu hai̯ndor
pmd 	 he_was_thirsty 	 -----
pkh 	 he_was_thirsty 	 (hor) piasu hai̯ndor
gcj 	 he_was_thirsty 	 (hor) piaswatol
ggg 	 he_was_thirsty 	 piæs wəsta
khu 	 he_was_thirsty 	 undwasta
bhe 	 he_was_thirsty 	 undawastal, unwake
prg 	 he_was_thirsty 	 piæs laktal
gka 	 he_was_thirsty 	 ʋaɖɡi wasta
gse 	 he_was_thirsty 	 waɾtur
gra 	 he_was_thirsty 	 ʋɛɾo wat̪uɾ
gki 	 he_was_thirsty 	 waɾka wast̪a
gar 	 he_was_thirsty 	 wərksimatur
gam 	 he_was_thirsty 	 wərksimatur
gwa 	 he_was_thirsty 	 waluksitul
gch 	 he_was_thirsty 	 -----
gdh 	 he_was_thirsty 	 (kʰop)piase
goa 	 he_was_thirsty 	 dupa
met 	 he_was_thirsty 	 und̪awʌstʌ
bhm 	 he_was_thirsty 	 eːɾuɳɖʌvaht̪ʌ
bhs 	 he_was_thirsty 	 eːɾundvasmʌt̪ʌ
bhb 	 he_was_thirsty 	 eːɾunɖʌvaht̪a
mso 	 he_was_thirsty 	 eɾundʌwast̪u
mlj 	 he_was_thirsty 	 pjaswʌst̪
