Language	Concept	IPA	Cognate Class	ASJP	SCA
goa	mortar	haki	5	haki	HAKI
met	mortar	haki	5	haki	HAKI
get	mortar	hʌʒki	5	hoZki	HESKI
bhe	mortar	kəl	6	k3l	KEL
gam	mortar	kəl	6	k3l	KEL
gba	mortar	kələm,haki	6	k3l3m, haki	KELEM, HAKI
ggg	mortar	kʰəl	6	kh~3l	KEL
bhm	mortar	koʈlʌ	6	kotlo	KUTLE
gdh	mortar	kɔl	6	kol	KUL
khu	mortar	kul	6	kul	KYL
gja	mortar	kuta	6	kuta	KYTA
grp	mortar	kʌɣ	6	kox	KEG
dog	mortar	kʌl	6	kol	KEL
mdh	mortar	kʌl	6	kol	KEL
bhb	mortar	kʌl	6	kol	KEL
mud	mortar	kʌl	6	kol	KEL
mso	mortar	loɖ	6	lod	LUT
psh	mortar	piredʒuta	7	piredZuta	PIRETSYTA
glb	mortar	sahaki	8	sahaki	SAHAKI
gwa	mortar	sahaki	8	sahaki	SAHAKI
prg	mortar	saki	8	saki	SAKI
gch	mortar	saki	8	saki	SAKI
mlj	mortar	sil	8	sil	SIL
gki	mortar	tʃahaki	8	tSahaki	TSAHAKI
gni	mortar	tʃʰaki	8	tSh~aki	TSAKI
gut	mortar	tʃʰaki	8	tSh~aki	TSAKI
lxg	mortar	tʃhʌʰki	8	tShoh~ki	TSHEKI
gar	mortar	ukəl	6	uk3l	YKEL
ktg	mosquito	bhusali	1	bhusali	PHYSALI
met	mosquito	bʰusiŋ	1	bh~usiN	PYSIN
mud	mosquito	buɾsunɖi	1	bursundi	PYRSYNTI
gok	mosquito	bʌrsondi	1	borsondi	PERSUNTI
gtd	mosquito	dadʒ	2	dadZ	TATS
gkt	mosquito	dadʒ	2	dadZ	TATS
gut	mosquito	d̪oima	3	doima	TUMA
bhe	mosquito	lulle	4	lulle	LYLE
mad	mosquito	matʃa	5	matSa	MATSA
gam	mosquito	muliŋ	6	muliN	MYLIN
psh	mosquito	muŋsa	7	muNsa	MYNSA
pkh	mosquito	muŋsa	7	muNsa	MYNSA
gni	mosquito	nuːle	8	nule	NYLE
bhm	mosquito	nulːe	8	nule	NYLE
bhs	mosquito	nulːe	8	nule	NYLE
bhb	mosquito	nulːe	8	nule	NYLE
lxg	mosquito	nulːɛ	8	nulE	NYLE
mbh	mosquito	nulˑe	8	nule	NYLE
glb	mosquito	nule	8	nule	NYLE
get	mosquito	nule	8	nule	NYLE
mal	mosquito	nule	8	nule	NYLE
gba	mosquito	nule	8	nule	NYLE
gcj	mosquito	nule	8	nule	NYLE
khu	mosquito	nule	8	nule	NYLE
prg	mosquito	nule	8	nule	NYLE
gwa	mosquito	nule	8	nule	NYLE
gch	mosquito	nule	8	nule	NYLE
goa	mosquito	nule	8	nule	NYLE
gka	mosquito	nul̆e	8	nule	NYLE
gja	mosquito	nule,nusmeŋk	8	nule, nusmeNk	NYLE, NYSMENK
ght	mosquito	nuleŋ	8	nuleN	NYLEN
gki	mosquito	nuleŋ	8	nuleN	NYLEN
dog	mosquito	nulẽŋ	8	nuleN	NYLEN
gra	mosquito	nulẽʔ	8	nule7	NYLEH
rui	mosquito	nulɛ̃	8	nulE	NYLE
grp	mosquito	nulɛŋ	8	nulEN	NYLEN
ggg	mosquito	nulɛŋ	8	nulEN	NYLEN
gse	mosquito	nulɛŋ	8	nulEN	NYLEN
gar	mosquito	nuliŋ	8	nuliN	NYLIN
gdh	mosquito	nulle	8	nulle	NYLE
pmd	mosquito	nuŋsi	8	nuNsi	NYNSI
mdh	mosquito	nusɛme	8	nusEme	NYSEME
mso	mosquito	nusme	8	nusme	NYSME
mku	mosquito	nusme,nuleŋ	8	nusme, nuleN	NYSME, NYLEN
gbh	mosquito	t̪loma	9	tloma	TLUMA
mlj	mosquito	wisi	A	wisi	WISI
gar	mother	(y)awal,maiyal	1	iawal, maiial	YAWAL, MAL
gok	mother	ai̯ya	1	aiia	A
mku	mother	ai̯yal	1	aiial	AL
mbh	mother	au̯a	1	aua	A
mad	mother	ava	1	ava	ABA
gba	mother	ava	1	ava	ABA
gja	mother	aval	1	aval	ABAL
ght	mother	awal	1	awal	AWAL
gam	mother	awal	1	awal	AWAL
gka	mother	awal̆	1	awal	AWAL
rui	mother	baie,baiye	2	baie, baiie	PA, PA
dog	mother	baije	2	baiye	PAJE
pmd	mother	bao̯	2	bao	PA
pkh	mother	bao̯	2	bao	PA
psh	mother	bou̯	2	bou	PU
gut	mother	bʌiːɛ	2	boiE	PE
ggg	mother	dai	3	dai	TA
khu	mother	dai	3	dai	TA
ktg	mother	dai̯	3	dai	TA
grp	mother	d̪ai̯	3	dai	TA
bhe	mother	dʰai	3	dh~ai	TA
prg	mother	dʰai	3	dh~ai	TA
get	mother	hawa	4	hawa	HAWA
gbh	mother	i̯awal	4	iawal	IWAL
lxg	mother	jaːl,ʌwaːl	5	yal, owal	JAL, EWAL
gni	mother	jai̯jal	5	yaiyal	JAJAL
bhs	mother	jaja	5	yaya	JAJA
mlj	mother	jaja	5	yaya	JAJA
mud	mother	jaja	5	yaya	JAJA
bhm	mother	jajo	5	yayo	JAJU
bhb	mother	jajo	5	yayo	JAJU
gra	mother	jaɭ	5	yaL	JAL
goa	mother	jaʃʌl	5	yaSol	JASEL
gse	mother	jɛal	5	yEal	JEL
met	mother	jʌijal	6	yoiyal	JEJAL
glb	mother	mai̯	6	mai	MA
gtd	mother	mai̯	6	mai	MA
gcj	mother	mai̯	6	mai	MA
gkt	mother	mai̯o	6	maio	MA
gki	mother	matɾi,baije	6	matri, baiye	MATRI, PAJE
gwa	mother	ya	7	ia	Y
gch	mother	ya	7	ia	Y
gdh	mother	ya	7	ia	Y
mal	mother	yai̯ya,haʌva	7	iaiia, haova	Y, HABA
mdh	mother	yal	7	ial	YL
mso	mother	yaya	7	iaia	Y
mud	mouth	ɖoɖ	1	dod	TUT
mbh	mouth	pau̯aɡai	2	pauagai	PAKA
bhs	mouth	pʌʃuːɾ	3	poSur	PESYR
bhb	mouth	pʌʃuːɾ	3	poSur	PESYR
lxg	mouth	t̪od̪ːɪ	4	todi	TUTI
gbh	mouth	t̪odˑi	4	todi	TUTI
get	mouth	todi	4	todi	TUTI
ght	mouth	tod̪i	4	todi	TUTI
ktg	mouth	tod̪i	4	todi	TUTI
psh	mouth	tod̪i	4	todi	TUTI
pmd	mouth	tod̪i	4	todi	TUTI
pkh	mouth	tod̪i	4	todi	TUTI
gcj	mouth	tod̪i	4	todi	TUTI
grp	mouth	t̪od̪i	4	todi	TUTI
glb	mouth	t̪od̪i	4	todi	TUTI
mdh	mouth	t̪od̪i	4	todi	TUTI
mku	mouth	t̪od̪i	4	todi	TUTI
gtd	mouth	t̪od̪i	4	todi	TUTI
gkt	mouth	t̪od̪i	4	todi	TUTI
gok	mouth	t̪od̪i	4	todi	TUTI
gba	mouth	toɖi	4	todi	TUTI
ggg	mouth	toɖi	4	todi	TUTI
khu	mouth	toɖi	4	todi	TUTI
bhe	mouth	toɖi	4	todi	TUTI
prg	mouth	toɖi	4	todi	TUTI
gka	mouth	toɖi	4	todi	TUTI
mlj	mouth	toɖi	4	todi	TUTI
gse	mouth	t̪oɖi	4	todi	TUTI
mso	mouth	toʈ	4	tot	TUT
bhm	mouth	ʈoɖ	4	tod	TUT
rui	mouth	ʈoɖi	4	todi	TUTI
dog	mouth	ʈoɖi	4	todi	TUTI
gni	mouth	ʈoɖi	4	todi	TUTI
gut	mouth	ʈoɖi	4	todi	TUTI
gja	mouth	ʈoɖi	4	todi	TUTI
mal	mouth	ʈoɖi	4	todi	TUTI
mad	mouth	ʈoɖi	4	todi	TUTI
gra	mouth	ʈoɖi	4	todi	TUTI
gki	mouth	ʈoɖi	4	todi	TUTI
gar	mouth	ʈoɖi	4	todi	TUTI
gam	mouth	ʈoɖi	4	todi	TUTI
gwa	mouth	ʈoɖi	4	todi	TUTI
gch	mouth	ʈoɖi	4	todi	TUTI
gdh	mouth	ʈoɖi	4	todi	TUTI
goa	mouth	ʈoɖi	4	todi	TUTI
met	mouth	ʈoɖi	4	todi	TUTI
get	mud	baða	1	ba8a	PADA
gbh	mud	bʰurd̪a	1	bh~urda	PYRTA
mbh	mud	bʰuɾd̪e	1	bh~urde	PYRTE
bhb	mud	burd̪a	1	burda	PYRTA
gba	mud	burðə	1	bur83	PYRDE
bhs	mud	buɾd̪a	1	burda	PYRTA
goa	mud	bʌɾd̪a	1	borda	PERTA
rui	mud	ɡata	2	gata	KATA
mso	mud	ikhla	3	ikhla	IKHLA
gja	mud	ʃikəla	3	Sik3la	SIKELA
bhm	mud	t̪oɽi	4	tori	TURI
gut	mud	tsɪklʌ	5	tsiklo	TSIKLE
met	mud	tʃik	5	tSik	TSIK
prg	mud	tʃikəla	5	tSik3la	TSIKELA
gar	mud	tʃikəla	5	tSik3la	TSIKELA
gam	mud	tʃikələ	5	tSik3l3	TSIKELE
grp	mud	tʃikla	5	tSikla	TSIKLA
glb	mud	tʃikla	5	tSikla	TSIKLA
mdh	mud	tʃikla	5	tSikla	TSIKLA
mku	mud	tʃikla	5	tSikla	TSIKLA
mad	mud	tʃikla	5	tSikla	TSIKLA
gkt	mud	tʃikla	5	tSikla	TSIKLA
gok	mud	tʃikla	5	tSikla	TSIKLA
psh	mud	tʃikla	5	tSikla	TSIKLA
pmd	mud	tʃikla	5	tSikla	TSIKLA
gcj	mud	tʃikla	5	tSikla	TSIKLA
bhe	mud	tʃikla	5	tSikla	TSIKLA
gka	mud	tʃikla	5	tSikla	TSIKLA
gki	mud	tʃikla	5	tSikla	TSIKLA
gch	mud	tʃikla	5	tSikla	TSIKLA
mlj	mud	tʃikla	5	tSikla	TSIKLA
mud	mud	tʃĩkla	5	tSikla	TSIKLA
ggg	mud	tʃiklə	5	tSikl3	TSIKLE
ght	mud	tʃiklu	5	tSiklu	TSIKLY
dog	mud	tʃiklʌ	5	tSiklo	TSIKLE
gni	mud	tʃikʌ̯la	5	tSikola	TSIKELA
gra	mud	tʃikʌlaʔ	5	tSikola7	TSIKELAH
gwa	mud	tʃɪkəla	5	tSik3la	TSIKELA
gdh	mud	tʃɪkəla	5	tSik3la	TSIKELA
khu	mud	tʃɪkəɬk	5	tSik3Lk	TSIKELK
ktg	mud	tʃɪkla	5	tSikla	TSIKLA
gtd	mud	tʃɪkla	5	tSikla	TSIKLA
pkh	mud	tʃɪkla	5	tSikla	TSIKLA
gse	mud	tʃɪkla	5	tSikla	TSIKLA
lxg	mud	tʃɪklʌ	5	tSiklo	TSIKLE
mal	mud	tʃɪlka,burd̪a	5	tSilka, burda	TSILKA, PYRTA
gtd	nail	-----	1	-----	-----
gra	nail	d̪ɾisku	2	drisku	TRISKY
mal	nail	erɛndʒu	3	erEndZu	ERENTSY
met	nail	eɾɪndʒu	3	erindZu	ERINTSY
gja	nail	ɡʰoɾ	4	gh~or	KUR
gbh	nail	ɡʰoɾu	4	gh~oru	KURY
gba	nail	ɡoɾu	4	goru	KURY
goa	nail	ɡoɾu	4	goru	KURY
mdh	nail	hɛɾɛndʒ	3	hErEndZ	HERENTS
bhb	nail	hiɽɲdʒk	3	hir5dZk	HIRNTSK
mud	nail	hiʈĩdʒ	3	hitidZ	HITITS
get	nail	hɪɾʌndʒu	3	hirondZu	HIRENTSY
mku	nail	hɨd̆e	3	h3de	HITE
mbh	nail	idiŋɡ	3	idiNg	ITINK
mso	nail	iɖiɲ	3	idi5	ITIN
mad	nail	irɛndʒu	3	irEndZu	IRENTSY
bhm	nail	iɽɲdʒ	3	ir5dZ	IRNTS
bhs	nail	iɽɲdʒ	3	ir5dZ	IRNTS
pmd	nail	nake	5	nake	NAKE
gdh	nail	nakʰ	5	nakh~	NAK
prg	nail	nakʰa	5	nakh~a	NAKA
bhe	nail	nakʰun	5	nakh~un	NAKYN
glb	nail	nakun	5	nakun	NAKYN
ktg	nail	nakun	5	nakun	NAKYN
psh	nail	nakun	5	nakun	NAKYN
pkh	nail	nakun	5	nakun	NAKYN
gcj	nail	nakun	5	nakun	NAKYN
khu	nail	nakun	5	nakun	NAKYN
grp	nail	nakʌn	5	nakon	NAKEN
ght	nail	nʌkaŋ,tʃin	5	nokaN, tSin	NEKAN, TSIN
dog	nail	tɛliŋka	6	tEliNka	TELINKA
gut	nail	t̪ʰɪdɪndʒ	6	th~idindZ	TITINTS
gkt	nail	tidin	6	tidin	TITIN
gwa	nail	tidis	6	tidis	TITIS
lxg	nail	tiɖ̆əndʒə	6	tid3ndZ3	TITENTSE
rui	nail	t̪iɖin	6	tidin	TITIN
gki	nail	t̪iɖin	6	tidin	TITIN
gch	nail	tiɖis	6	tidis	TITIS
ggg	nail	tiɾdus	6	tirdus	TIRTYS
mlj	nail	t̪iɾiŋdʒ	6	tiriNdZ	TIRINTS
gni	nail	t̪ɪd̪ɪndʒ	6	tidindZ	TITINTS
gse	nail	tʃɪn	6	tSin	TSIN
gar	nail	tʃɪn	6	tSin	TSIN
gam	nail	tʃɪn	6	tSin	TSIN
gka	nail	tʃɪn̪	6	tSin	TSIN
gok	nail	tʌdidʒ	6	todidZ	TETITS
ght	name	na	1	na	NA
glb	name	na	1	na	NA
gtd	name	nae	1	nae	NA
gkt	name	nam	1	nam	NAM
psh	name	nam	1	nam	NAM
pmd	name	nam	1	nam	NAM
gcj	name	nam	1	nam	NAM
ggg	name	nam	1	nam	NAM
khu	name	nam	1	nam	NAM
bhe	name	nam	1	nam	NAM
prg	name	nam	1	nam	NAM
gka	name	nau	1	nau	NA
gse	name	nau	1	nau	NA
gar	name	nau	1	nau	NA
gam	name	nau	1	nau	NA
dog	name	nau,ɸhoɾo	1	nau, phoro	NA, BHURU
grp	name	naul	1	naul	NAL
gok	name	padar	2	padar	PATAR
bhm	name	ped̪eːɾ	2	peder	PETER
bhs	name	ped̪eɾ	2	peder	PETER
bhb	name	ped̪eɾ	2	peder	PETER
mbh	name	ped̪iɾ	2	pedir	PETIR
mal	name	pɛdir	2	pEdir	PETIR
rui	name	pʰorol	2	ph~orol	PURUL
gja	name	pʰorol	2	ph~orol	PURUL
gki	name	phoroɭ	2	phoroL	PHURUL
mad	name	pʰorul	2	ph~orul	PURYL
gba	name	pʰorul	2	ph~orul	PURYL
gbh	name	poˑɾoi	2	poroi	PURU
gwa	name	podol	2	podol	PUTUL
gch	name	poɖol	2	podol	PUTUL
gdh	name	poɖol	2	podol	PUTUL
lxg	name	porːɔl	2	porol	PURUL
gut	name	poroːl	2	porol	PURUL
mdh	name	poroi	2	poroi	PURU
mku	name	poroi	2	poroi	PURU
gni	name	porol	2	porol	PURUL
mso	name	poɾoi	2	poroi	PURU
mud	name	poɾoi	2	poroi	PURU
pkh	name	prol,nam	2	prol, nam	PRUL, NAM
mlj	name	pʌd̪uɾ	2	podur	PETYR
gra	name	pʌro	2	poro	PERU
ktg	name	pʌroi	2	poroi	PERU
get	name	pʌrol	2	porol	PERUL
goa	name	ɸhoro	2	phoro	BHURU
met	name	ɸhoɾuɭ	2	phoruL	BHURYL
mad	near	(h)ere	1	here	HERE
bhb	near	bokat̪e	2	bokate	PUKATE
mbh	near	d̪aɡˑɾe	3	dagre	TAKRE
gbh	near	d̪aɡʰiɾa	3	dagh~ira	TAKIRA
pkh	near	dinɡa	3	dinga	TINKA
get	near	dʌɡɛr	3	dogEr	TEKER
rui	near	dʒəoɖo,kərum	3	dZ3odo, k3rum	TSETU, KERYM
psh	near	dʒorhẽ	3	dZorhe	TSURHE
bhe	near	dʒote	3	dZote	TSUTE
mal	near	ere	1	ere	ERE
ktg	near	here	1	here	HERE
mdh	near	here	1	here	HERE
met	near	here	1	here	HERE
mlj	near	heɽe	1	here	HERE
mud	near	heɾe	1	here	HERE
mku	near	hɛre	1	hEre	HERE
gok	near	hɛre	1	hEre	HERE
gja	near	hɛrɛ	1	hErE	HERE
gba	near	hɛrɛ,dʌɡɛr	1	hErE, dogEr	HERE, TEKER
pmd	near	hibare	4	hibare	HIPARE
glb	near	hike	4	hike	HIKE
gni	near	karum	5	karum	KARYM
gut	near	karum	5	karum	KARYM
gkt	near	karum	5	karum	KARYM
prg	near	karum	5	karum	KARYM
gra	near	karum	5	karum	KARYM
gwa	near	karum	5	karum	KARYM
gcj	near	katʃul	5	katSul	KATSYL
khu	near	katʃur	5	katSur	KATSYR
dog	near	kərum	5	k3rum	KERYM
gtd	near	kərum	5	k3rum	KERYM
ggg	near	kərum	5	k3rum	KERYM
gch	near	kərum	5	k3rum	KERYM
gdh	near	kərum	5	k3rum	KERYM
gar	near	kətʃum,kərum	5	k3tSum, k3rum	KETSYM, KERYM
gam	near	kətʃum,kərum	5	k3tSum, k3rum	KETSYM, KERYM
lxg	near	kʌrːum	5	korum	KERYM
gka	near	kʌrum	5	korum	KERYM
gki	near	kʌɾum	5	korum	KERYM
grp	near	kʌtʃul	5	kotSul	KETSYL
ght	near	kʌtʃum	5	kotSum	KETSYM
gse	near	kʌtʃum	5	kotSum	KETSYM
bhm	near	mod̪ol	6	modol	MUTUL
bhs	near	mod̪ol	6	modol	MUTUL
mso	near	moɾol	6	morol	MURUL
goa	near	pakʌʈe	7	pakote	PAKETE
gok	needle	hudʒi	1	hudZi	HYTSI
mud	needle	hudʒi	1	hudZi	HYTSI
gut	needle	sou̯i	2	soui	SU
bhb	needle	suːj	2	suy	SYJ
bhm	needle	suːji	2	suyi	SYJI
bhs	needle	suːji	2	suyi	SYJI
mbh	needle	sudi	1	sudi	SYTI
gba	needle	sudi	1	sudi	SYTI
get	needle	sud̪i	1	sudi	SYTI
gja	needle	sud̪i	1	sudi	SYTI
gbh	needle	sud̪i	1	sudi	SYTI
goa	needle	sud̪i	1	sudi	SYTI
ktg	needle	sudʒi	1	sudZi	SYTSI
gkt	needle	sudʒi	1	sudZi	SYTSI
psh	needle	sudʒi	1	sudZi	SYTSI
pkh	needle	sudʒi	1	sudZi	SYTSI
ggg	needle	sudʒi	1	sudZi	SYTSI
khu	needle	sudʒi	1	sudZi	SYTSI
bhe	needle	sudʒi	1	sudZi	SYTSI
prg	needle	sudʒi	1	sudZi	SYTSI
mlj	needle	sudʒi	1	sudZi	SYTSI
dog	needle	sui	2	sui	SY
gka	needle	sui	2	sui	SY
gse	needle	sui	2	sui	SY
gra	needle	sui	2	sui	SY
gar	needle	sui	2	sui	SY
gam	needle	sui	2	sui	SY
gwa	needle	sui	2	sui	SY
gch	needle	sui	2	sui	SY
gdh	needle	sui	2	sui	SY
met	needle	sui	2	sui	SY
lxg	needle	sui̯	2	sui	SY
gni	needle	sui̯u	2	suiu	SY
rui	needle	swi	2	swi	SWI
grp	needle	swi	2	swi	SWI
ght	needle	swi	2	swi	SWI
glb	needle	swi	2	swi	SWI
mdh	needle	swi	2	swi	SWI
mku	needle	swi	2	swi	SWI
gtd	needle	swi	2	swi	SWI
pmd	needle	swi	2	swi	SWI
gcj	needle	swi	2	swi	SWI
gki	needle	swi	2	swi	SWI
mso	needle	udʒ	1	udZ	YTS
mal	needle	udʒi	1	udZi	YTSI
mad	needle	udʒi	1	udZi	YTSI
gtd	new	nai̯o	1	naio	NA
gkt	new	nai̯o	1	naio	NA
gdh	new	naiyo	1	naiio	NA
gch	new	nawo	1	nawo	NAWU
prg	new	notui	1	notui	NUTY
ght	new	nowo	1	nowo	NUWU
khu	new	pʰunəl	2	ph~un3l	PYNEL
gam	new	pʰunnal	2	ph~unnal	PYNAL
gbh	new	poˑna	2	pona	PUNA
gni	new	puːna	2	puna	PYNA
bhb	new	puːna	2	puna	PYNA
gut	new	puːnaʔ	2	puna7	PYNAH
lxg	new	puːnʌ	2	puno	PYNE
bhm	new	puːnʌ	2	puno	PYNE
bhs	new	puːnʌ	2	puno	PYNE
mud	new	puhna	2	puhna	PYHNA
dog	new	punːa	2	puna	PYNA
met	new	punːa	2	puna	PYNA
mad	new	punˑa	2	puna	PYNA
rui	new	puna	2	puna	PYNA
gja	new	puna	2	puna	PYNA
mal	new	puna	2	puna	PYNA
mbh	new	puna	2	puna	PYNA
gba	new	puna	2	puna	PYNA
gki	new	puna	2	puna	PYNA
goa	new	puna	2	puna	PYNA
mlj	new	puna	2	puna	PYNA
grp	new	punal	2	punal	PYNAL
glb	new	punal	2	punal	PYNAL
ktg	new	punal	2	punal	PYNAL
mdh	new	punal	2	punal	PYNAL
mku	new	punal	2	punal	PYNAL
get	new	punal	2	punal	PYNAL
gok	new	punal	2	punal	PYNAL
psh	new	punal	2	punal	PYNAL
pmd	new	punal	2	punal	PYNAL
pkh	new	punal	2	punal	PYNAL
gcj	new	punal	2	punal	PYNAL
ggg	new	punal	2	punal	PYNAL
gka	new	punal̆	2	punal	PYNAL
gse	new	punaɭ	2	punaL	PYNAL
gra	new	punaʔ	2	puna7	PYNAH
bhe	new	punnal	2	punnal	PYNAL
gar	new	punnal	2	punnal	PYNAL
gwa	new	punnal,nai̯w	2	punnal, naiw	PYNAL, NAW
mso	new	puno	2	puno	PYNU
bhs	night	iːkaɾ	1	ikar	IKAR
mbh	night	nakˑa	2	naka	NAKA
mad	night	nakʌ	2	nako	NAKE
met	night	nakʌ	2	nako	NAKE
grp	night	narka	2	narka	NARKA
ght	night	narka	2	narka	NARKA
ktg	night	narka	2	narka	NARKA
mdh	night	narka	2	narka	NARKA
get	night	narka	2	narka	NARKA
gja	night	narka	2	narka	NARKA
gtd	night	narka	2	narka	NARKA
gba	night	narka	2	narka	NARKA
gkt	night	narka	2	narka	NARKA
gok	night	narka	2	narka	NARKA
psh	night	narka	2	narka	NARKA
pmd	night	narka	2	narka	NARKA
pkh	night	narka	2	narka	NARKA
gcj	night	narka	2	narka	NARKA
ggg	night	narka	2	narka	NARKA
khu	night	narka	2	narka	NARKA
bhe	night	narka	2	narka	NARKA
gwa	night	narka	2	narka	NARKA
gch	night	narka	2	narka	NARKA
gdh	night	narka	2	narka	NARKA
gar	night	narka,rat	2	narka, rat	NARKA, RAT
gam	night	narka,rat	2	narka, rat	NARKA, RAT
gbh	night	narka(du)	2	narkadu	NARKATY
gni	night	narkʌ	2	narko	NARKE
dog	night	naɾka	2	narka	NARKA
gra	night	naɾka	2	narka	NARKA
gki	night	naɾkʌ	2	narko	NARKE
goa	night	naɾkʌ	2	narko	NARKE
mku	night	nerka	2	nerka	NERKA
rui	night	nərka	2	n3rka	NERKA
mso	night	nulpe	3	nulpe	NYLPE
mlj	night	nulpe	3	nulpe	NYLPE
glb	night	nurka	2	nurka	NYRKA
mal	night	nʌka	2	noka	NEKA
lxg	night	nʌrkʌ	2	norko	NERKE
bhb	night	nʌɾka	2	norka	NERKA
mud	night	nʌɾki	2	norki	NERKI
gut	night	nʌɾkʌ	2	norko	NERKE
bhm	night	nʌɾkʌ	2	norko	NERKE
prg	night	rat	4	rat	RAT
gka	night	rat̪	4	rat	RAT
gse	night	ratrʌʔ	4	ratro7	RATREH
ktg	nine	nao̯	1	nao	NA
met	nine	naʃu	1	naSu	NASY
dog	nine	nau	1	nau	NA
gja	nine	nau	1	nau	NA
mad	nine	nau	1	nau	NA
gtd	nine	nau	1	nau	NA
gkt	nine	nau	1	nau	NA
psh	nine	nau	1	nau	NA
pmd	nine	nau	1	nau	NA
gcj	nine	nau	1	nau	NA
ggg	nine	nau	1	nau	NA
khu	nine	nau	1	nau	NA
bhe	nine	nau	1	nau	NA
prg	nine	nau	1	nau	NA
gse	nine	nau	1	nau	NA
gra	nine	nau	1	nau	NA
gki	nine	nau	1	nau	NA
gar	nine	nau	1	nau	NA
gam	nine	nau	1	nau	NA
gch	nine	nau	1	nau	NA
gdh	nine	nau	1	nau	NA
bhs	nine	nau	1	nau	NA
bhb	nine	nau	1	nau	NA
grp	nine	nau̯	1	nau	NA
mso	nine	nau̯	1	nau	NA
mud	nine	nau̯	1	nau	NA
gut	nine	nawu	1	nawu	NAWY
rui	nine	nəo	1	n3o	NE
ght	nine	no	1	no	NU
glb	nine	no	1	no	NU
mdh	nine	no	1	no	NU
mku	nine	no	1	no	NU
mal	nine	no	1	no	NU
gok	nine	no	1	no	NU
pkh	nine	no	1	no	NU
gni	nine	noo̯βu	1	noobu	NUBY
gba	nine	nou	1	nou	NU
gka	nine	nou̯	1	nou	NU
lxg	nine	nuwːu	1	nuwu	NYWY
mlj	nine	nʌo̯	1	noo	NE
bhm	nine	nʌu	1	nou	NE
mbh	nine	t̪omˑidi	2	tomidi	TUMITI
gbh	nine	t̪omˑid̪i	2	tomidi	TUMITI
get	nine	tomadi	2	tomadi	TUMATI
goa	nine	tʌmid̪	2	tomid	TEMIT
gwa	nine	unmal	3	unmal	YNMAL
mlj	noon	baɾʌbaze	1	barobaze	PAREPASE
gkt	noon	dʰupali	2	dh~upali	TYPALI
psh	noon	dʰupari	2	dh~upari	TYPARI
gam	noon	dipaɖi	2	dipadi	TIPATI
ggg	noon	dopaɖi	2	dopadi	TUPATI
prg	noon	dopaɖi	2	dopadi	TUPATI
gut	noon	d̪opaɖi	2	dopadi	TUPATI
gar	noon	dupaɖi	2	dupadi	TYPATI
gch	noon	dupaɖi	2	dupadi	TYPATI
gdh	noon	dupaɖi	2	dupadi	TYPATI
mdh	noon	dupar	2	dupar	TYPAR
mku	noon	dupar	2	dupar	TYPAR
gja	noon	dupar	2	dupar	TYPAR
gok	noon	dupar	2	dupar	TYPAR
gka	noon	dupar	2	dupar	TYPAR
gki	noon	d̪upar	2	dupar	TYPAR
grp	noon	dupare	2	dupare	TYPARE
ght	noon	dupare	2	dupare	TYPARE
glb	noon	dupare	2	dupare	TYPARE
pkh	noon	dupare	2	dupare	TYPARE
pmd	noon	dupari	2	dupari	TYPARI
gcj	noon	dupari	2	dupari	TYPARI
bhe	noon	dupari	2	dupari	TYPARI
gwa	noon	dupari	2	dupari	TYPARI
gni	noon	d̪upaɽe	2	dupare	TYPARE
dog	noon	dupaɾi	2	dupari	TYPARI
gse	noon	dupaɾi	2	dupari	TYPARI
gra	noon	d̪upaɾi	2	dupari	TYPARI
gtd	noon	dupə(heda)	2	dup3heda	TYPEHETA
rui	noon	d̪upur	2	dupur	TYPYR
ktg	noon	duɸar	2	dupar	TYBAR
khu	noon	məriə	3	m3ri3	MERI
bhs	noon	mʌd̪naˑm	3	modnam	METNAM
mso	noon	neknit̪ita	4	neknitita	NEKNITITA
mud	noon	neknit̪ita	4	neknitita	NEKNITITA
get	noon	nɛknita	4	nEknita	NEKNITA
gba	noon	nɛknita,pial	4	nEknita, pial	NEKNITA, PIL
mbh	noon	pet̪epiˑali	5	petepiali	PETEPILI
mad	noon	pʰord̪u	6	ph~ordu	PURTY
gbh	noon	piˑt̪el	5	pitel	PITEL
mal	noon	piɛli	5	piEli	PILI
met	noon	piɡa	5	piga	PIKA
lxg	noon	pijaːl	5	piyal	PIJAL
goa	noon	pijar	5	piyar	PIJAR
bhm	noon	ʌd̪kn	7	odkn	ETKN
bhb	noon	ʌd̪kʌd̪a	7	odkoda	ETKETA
rui	nose	ma̯osər	1	maos3r	MASER
gki	nose	masəɾ	1	mas3r	MASER
gtd	nose	masode	1	masode	MASUTE
gka	nose	masoɽ	1	masor	MASUR
gra	nose	masoɾ	1	masor	MASUR
gse	nose	masuɾ	1	masur	MASYR
psh	nose	məsər	1	m3s3r	MESER
pkh	nose	məsər	1	m3s3r	MESER
gdh	nose	məsər	1	m3s3r	MESER
ggg	nose	məsor	1	m3sor	MESUR
prg	nose	məsor	1	m3sor	MESUR
gar	nose	məsor	1	m3sor	MESUR
gam	nose	məsor	1	m3sor	MESUR
gch	nose	məsor	1	m3sor	MESUR
khu	nose	məsur	1	m3sur	MESYR
bhe	nose	məsur	1	m3sur	MESYR
gwa	nose	məsur	1	m3sur	MESYR
gkt	nose	məsʌr	1	m3sor	MESER
lxg	nose	mɪsor	1	misor	MISUR
bhm	nose	mosːoːɾ	1	mosor	MUSUR
