Language	Concept	IPA	ASJP	SCA
ght	they	(lʌk)hark	lokhark	LEKHARK
glb	they	wor	wor	WUR
ktg	they	wor	wor	WUR
dog	they	or	or	UR
mdh	they	orku	orku	URKY
mku	they	or,adu	or, adu	UR, ATY
gni	they	ʷaiaɽu	w~aiaru	ARY
lxg	they	uːru	uru	YRY
get	they	oru	oru	URY
gut	they	βoːru	boru	BURY
gja	they	oru	oru	URY
gbh	they	oɾu	oru	URY
mal	they	wo	wo	WU
mbh	they	oɾu	oru	URY
mad	they	wo	wo	WU
gtd	they	orewaturi	orewaturi	UREWATYRI
gba	they	oru	oru	URY
gkt	they	wod̆a	woda	WUTA
gok	they	wor	wor	WUR
psh	they	worʌ	woro	WURE
pmd	they	wor	wor	WUR
pkh	they	wora	wora	WURA
gcj	they	wol	wol	WUL
ggg	they	ork	ork	URK
khu	they	or	or	UR
bhe	they	or	or	UR
prg	they	ord	ord	URT
gka	they	had(u)	hadu	HATY
gse	they	hʌɖuk	hoduk	HETYK
gra	they	voɾ	vor	BUR
gki	they	ur	ur	YR
gar	they	(h)ork	hork	HURK
gam	they	(h)ork	hork	HURK
gwa	they	ol	ol	UL
gch	they	-----	-----	-----
gdh	they	ʷor	w~or	UR
goa	they	horu	horu	HURY
met	they	horu	horu	HURY
bhm	they	voːɾ	vor	BUR
bhs	they	vosɳd	vosnd	BUSNT
bhb	they	woɾum	worum	WURYM
mso	they	woɾ	wor	WUR
mlj	they	ʌtʃhai̯	otShai	ETSHA
mud	they	oɾu	oru	URY
rui	hear	kẽst̪or,kendza	kestor, kendza	KESTUR, KENTSA
grp	hear	keŋdʒimatʌr	keNdZimator	KENTSIMATER
ght	hear	horkenstur	horkenstur	HURKENSTYR
glb	hear	workɛnstʌr	workEnstor	WURKENSTER
ktg	hear	kendʒtur	kendZtur	KENTSTYR
dog	hear	kei̯ŋdʒtor,keindʒa	keiNdZtor, keindZa	KENTSTUR, KENTSA
mdh	hear	kendʒtur,kendʒa	kendZtur, kendZa	KENTSTYR, KENTSA
mku	hear	kendʒtur,kendʒa	kendZtur, kendZa	KENTSTYR, KENTSA
gni	hear	kɛndʒt̪or,kɛːndʒa	kEndZtor, kEndZa	KENTSTUR, KENTSA
lxg	hear	kɛɪ̯ndʒt̪or,kɛɪ̯ndʒʌ	kEindZtor, kEindZo	KENTSTUR, KENTSE
get	hear	kendʒtor,kendʒa	kendZtor, kendZa	KENTSTUR, KENTSA
gut	hear	kɛndʒdvʌl	kEndZdvol	KENTSTBEL
gja	hear	kendʒtor,kendʒa	kendZtor, kendZa	KENTSTUR, KENTSA
gbh	hear	kendʒmadʔ	kendZmad7	KENTSMATH
mal	hear	kento,kendʒa	kento, kendZa	KENTU, KENTSA
mbh	hear	kandʒa	kandZa	KANTSA
mad	hear	keɪ̯nst̪or,kei̯ndʒa	keinstor, keindZa	KENSTUR, KENTSA
gtd	hear	olkendʒitol,keŋdʒa	olkendZitol, keNdZa	ULKENTSITUL, KENTSA
gba	hear	kei̯ndʒtur,keindʒa	keindZtur, keindZa	KENTSTYR, KENTSA
gkt	hear	keŋdʒimatol,keŋdʒa	keNdZimatol, keNdZa	KENTSIMATUL, KENTSA
gok	hear	kɛndʒtul,kɛndʒa	kEndZtul, kEndZa	KENTSTYL, KENTSA
psh	hear	workɛndʒimator,kɛndʒʌ	workEndZimator, kEndZo	WURKENTSIMATUR, KENTSE
pmd	hear	keŋdʒimator,keŋdʒa	keNdZimator, keNdZa	KENTSIMATUR, KENTSA
pkh	hear	horkɛndʒimatol	horkEndZimatol	HURKENTSIMATUL
gcj	hear	horkanedʒimatol̆,keŋdʒa	horkanedZimatol, keNdZa	HURKANETSIMATUL, KENTSA
ggg	hear	orkeinstur,keindʒa	orkeinstur, keindZa	URKENSTYR, KENTSA
khu	hear	orkeinstur,keindʒa	orkeinstur, keindZa	URKENSTYR, KENTSA
bhe	hear	orkeindʒturˑ,keindʒa	orkeindZtur, keindZa	URKENTSTYR, KENTSA
prg	hear	olkentʃi,keindʒə	olkentSi, keindZ3	ULKENTSI, KENTSE
gka	hear	kei̯ni̯tʃtar,kei̯nd̪za	keinitStar, keindza	KENITSTAR, KENTSA
gse	hear	kendʒtur,kɛndʒ	kendZtur, kEndZ	KENTSTYR, KENTS
gra	hear	kei̯st̪or,keistar	keistor, keistar	KESTUR, KESTAR
gki	hear	kei̯ndaɾtor,kɛnda	keindartor, kEnda	KENTARTUR, KENTA
gar	hear	kendʒimatur,kendʒa	kendZimatur, kendZa	KENTSIMATYR, KENTSA
gam	hear	kendʒimatur,kendʒa	kendZimatur, kendZa	KENTSIMATYR, KENTSA
gwa	hear	kendʒitul,kendʒa	kendZitul, kendZa	KENTSITYL, KENTSA
gch	hear	-----	-----	-----
gdh	hear	keinstul,keindʒa	keinstul, keindZa	KENSTYL, KENTSA
goa	hear	keĭstur,keindʒa	keistur, keindZa	KESTYR, KENTSA
met	hear	keĭnst̪or,keindʒa	keinstor, keindZa	KENSTUR, KENTSA
bhm	hear	keːɲdʒʌ	ke5dZo	KENTSE
bhs	hear	kendʒa	kendZa	KENTSA
bhb	hear	kendʒa	kendZa	KENTSA
mso	hear	kendʒt̪o	kendZto	KENTSTU
mlj	hear	kẽdʒa	kedZa	KETSA
mud	hear	keɲdʒa	ke5dZa	KENTSA
rui	night	nərka	n3rka	NERKA
grp	night	narka	narka	NARKA
ght	night	narka	narka	NARKA
glb	night	nurka	nurka	NYRKA
ktg	night	narka	narka	NARKA
dog	night	naɾka	narka	NARKA
mdh	night	narka	narka	NARKA
mku	night	nerka	nerka	NERKA
gni	night	narkʌ	narko	NARKE
lxg	night	nʌrkʌ	norko	NERKE
get	night	narka	narka	NARKA
gut	night	nʌɾkʌ	norko	NERKE
gja	night	narka	narka	NARKA
gbh	night	narka(du)	narkadu	NARKATY
mal	night	nʌka	noka	NEKA
mbh	night	nakˑa	naka	NAKA
mad	night	nakʌ	nako	NAKE
gtd	night	narka	narka	NARKA
gba	night	narka	narka	NARKA
gkt	night	narka	narka	NARKA
gok	night	narka	narka	NARKA
psh	night	narka	narka	NARKA
pmd	night	narka	narka	NARKA
pkh	night	narka	narka	NARKA
gcj	night	narka	narka	NARKA
ggg	night	narka	narka	NARKA
khu	night	narka	narka	NARKA
bhe	night	narka	narka	NARKA
prg	night	rat	rat	RAT
gka	night	rat̪	rat	RAT
gse	night	ratrʌʔ	ratro7	RATREH
gra	night	naɾka	narka	NARKA
gki	night	naɾkʌ	narko	NARKE
gar	night	narka,rat	narka, rat	NARKA, RAT
gam	night	narka,rat	narka, rat	NARKA, RAT
gwa	night	narka	narka	NARKA
gch	night	narka	narka	NARKA
gdh	night	narka	narka	NARKA
goa	night	naɾkʌ	narko	NARKE
met	night	nakʌ	nako	NAKE
bhm	night	nʌɾkʌ	norko	NERKE
bhs	night	iːkaɾ	ikar	IKAR
bhb	night	nʌɾka	norka	NERKA
mso	night	nulpe	nulpe	NYLPE
mlj	night	nulpe	nulpe	NYLPE
mud	night	nʌɾki	norki	NERKI
rui	go	sot̪or	sotor	SUTUR
grp	go	worhatʌr,hʌn	worhator, hon	WURHATER, HEN
ght	go	worhantur,han	worhantur, han	WURHANTYR, HAN
glb	go	worhʌtor,hun	worhotor, hun	WURHETUR, HYN
ktg	go	hʌtur,hʌn	hotur, hon	HETYR, HEN
dog	go	sot̪oɾ,so	sotor, so	SUTUR, SU
mdh	go	hʌtur,hʌn	hotur, hon	HETYR, HEN
mku	go	hʌtur,hʌn	hotur, hon	HETYR, HEN
gni	go	sodit̪or,so	soditor, so	SUTITUR, SU
lxg	go	sodctiɽ,so	sodTtir, so	SUTCTIR, SU
get	go	hʌtor,hʌn	hotor, hon	HETUR, HEN
gut	go	sonvʌ	sonvo	SUNBE
gja	go	hʌtor,hʌn	hotor, hon	HETUR, HEN
gbh	go	onmadʔ	onmad7	UNMATH
mal	go	hato,hʌn	hato, hon	HATU, HEN
mbh	go	amˑadi	amadi	AMATI
mad	go	hʌtoru̯,hʌn	hotoru, hon	HETURY, HEN
gtd	go	olhandʒitol,han	olhandZitol, han	ULHANTSITUL, HAN
gba	go	hʌtor,hʌn	hotor, hon	HETUR, HEN
gkt	go	handzimatol,vito	handzimatol, vito	HANTSIMATUL, BITU
gok	go	hʌktor,hʌn	hoktor, hon	HEKTUR, HEN
psh	go	worhuntʃimator,hʌn	worhuntSimator, hon	WURHYNTSIMATUR, HEN
pmd	go	hantʃimator,han	hantSimator, han	HANTSIMATUR, HAN
pkh	go	horhʌntʃimatoɭ	horhontSimatoL	HURHENTSIMATUL
gcj	go	horhanimatoɭ,han	horhanimatoL, han	HURHANIMATUL, HAN
ggg	go	orhatur,hən	orhatur, h3n	URHATYR, HEN
khu	go	orhatur,hən	orhatur, h3n	URHATYR, HEN
bhe	go	orhatur,hən	orhatur, h3n	URHATYR, HEN
prg	go	orandzi,wita	orandzi, wita	URANTSI, WITA
gka	go	handʒimator,han	handZimator, han	HANTSIMATUR, HAN
gse	go	hʌtur,hʌn	hotur, hon	HETYR, HEN
gra	go	sodit̪or,soɖia	soditor, sodia	SUTITUR, SUTI
gki	go	sot̪or,so	sotor, so	SUTUR, SU
gar	go	handʒərimatur,han	handZ3rimatur, han	HANTSERIMATYR, HAN
gam	go	handʒirimatur,hən	handZirimatur, h3n	HANTSIRIMATYR, HEN
gwa	go	handʒital,hən	handZital, h3n	HANTSITAL, HEN
gch	go	-----	-----	-----
gdh	go	hattur,hən	hattur, h3n	HATYR, HEN
goa	go	hoɾtor,hʌn	hortor, hon	HURTUR, HEN
met	go	hat̪o,hʌn	hato, hon	HATU, HEN
bhm	go	ʌn	on	EN
bhs	go	an	an	AN
bhb	go	anu	anu	ANY
mso	go	ʌnt̪	ont	ENT
mlj	go	han	han	HAN
mud	go	hʌn	hon	HEN
rui	firewood	kət̪eɳ	k3ten	KETEN
grp	firewood	quʈia	qutia	KYTI
ght	firewood	kutʲ	kuty~	KYT
glb	firewood	kʌtla	kotla	KETLA
ktg	firewood	ɡuteɳ	guten	KYTEN
dog	firewood	kʌt̪ɛɳ	kotEn	KETEN
mdh	firewood	ɡuteɳ	guten	KYTEN
mku	firewood	ɡute	gute	KYTE
gni	firewood	kʌʈːe	kote	KETE
lxg	firewood	kʌitʌ	koito	KETE
get	firewood	kisumʌte	kisumote	KISYMETE
gut	firewood	kʌʈːŋɡ	kotNg	KETNK
gja	firewood	kaʈiaŋ	katiaN	KATIN
gbh	firewood	kat̪e	kate	KATE
mal	firewood	ɪrʌpe	irope	IREPE
mbh	firewood	u̯eki	ueki	YKI
mad	firewood	vəki	v3ki	BEKI
gtd	firewood	qʌʈia	qotia	KETI
gba	firewood	kʌte,kismute	kote, kismute	KETE, KISMYTE
gkt	firewood	quʈia	qutia	KYTI
gok	firewood	kʌtia	kotia	KETI
psh	firewood	quʈia	qutia	KYTI
pmd	firewood	qʌtia	qotia	KETI
pkh	firewood	quʈia	qutia	KYTI
gcj	firewood	kaʈia	katia	KATI
ggg	firewood	kartiya	kartiia	KARTI
khu	firewood	kaʈiya	katiia	KATI
bhe	firewood	kaʈia	katia	KATI
prg	firewood	kaʈia	katia	KATI
gka	firewood	kaʈia	katia	KATI
gse	firewood	kʌʈia	kotia	KETI
gra	firewood	kʌita	koita	KETA
gki	firewood	kʌt̪eŋ	koteN	KETEN
gar	firewood	kaʈiɛl	katiEl	KATIL
gam	firewood	kaʈiel	katiel	KATIL
gwa	firewood	kətiaŋ	k3tiaN	KETIN
gch	firewood	kətiya	k3tiia	KETI
gdh	firewood	kaʈia	katia	KATI
goa	firewood	kʌʈːe	kote	KETE
met	firewood	korseʔ	korse7	KURSEH
bhm	firewood	kʌʈeja	koteya	KETEJA
bhs	firewood	wʌɾki	worki	WERKI
bhb	firewood	kʌʈija	kotiya	KETIJA
mso	firewood	wʌkkiŋ	wokkiN	WEKIN
mlj	firewood	kʌʈʈiã	kottia	KETI
mud	firewood	kismasana	kismasana	KISMASANA
rui	all	n̪ikaɭ	nikaL	NIKAL
grp	all	puro	puro	PYRU
ght	all	sʌbe	sobe	SEPE
glb	all	puro	puro	PYRU
ktg	all	voleŋ	voleN	BULEN
dog	all	sʌɾβʌn	sorbon	SERBEN
mdh	all	atʃokas	atSokas	ATSUKAS
mku	all	sʌb	sob	SEP
gni	all	mat̪ːa	mata	MATA
lxg	all	sʌmd̪o	somdo	SEMTU
get	all	kʌtʌm	kotom	KETEM
gut	all	sʌmd̪i	somdi	SEMTI
gja	all	purai	purai	PYRA
gbh	all	bʰot̪iɡa	bh~otiga	PUTIKA
mal	all	sʌbi	sobi	SEPI
mbh	all	bʰot̪iɡa	bh~otiga	PUTIKA
mad	all	kʌt̪ʌm	kotom	KETEM
gtd	all	sʌb	sob	SEP
gba	all	kʌtʌm	kotom	KETEM
gkt	all	wale(suɭa)	walesuLa	WALESYLA
gok	all	sʌb	sob	SEP
psh	all	sʌb	sob	SEP
pmd	all	sʌb	sob	SEP
pkh	all	sʌb	sob	SEP
gcj	all	sʌb	sob	SEP
ggg	all	-----	-----	-----
khu	all	səb(dʒinal)	s3bdZinal	SEPTSINAL
bhe	all	səb	s3b	SEP
prg	all	səbbai	s3bbai	SEPA
gka	all	atʃoɖe	atSode	ATSUTE
gse	all	puɾo	puro	PYRU
gra	all	puɾo	puro	PYRU
gki	all	sʌmd̪iɾe,atʃore	somdire, atSore	SEMTIRE, ATSURE
gar	all	sarawa	sarawa	SARAWA
gam	all	səbley	s3blei	SEPLE
gwa	all	səbai	s3bai	SEPA
gch	all	-----	-----	-----
gdh	all	səb	s3b	SEP
goa	all	ʌnt̪ur	ontur	ENTYR
met	all	kʌt̪vm	kotvm	KETBM
bhm	all	dʒʌmːaj	dZomay	TSEMAJ
bhs	all	dʒʌmaːj	dZomay	TSEMAJ
bhb	all	dʒʌmaːj	dZomay	TSEMAJ
mso	all	tʃukʰne	tSukh~ne	TSYKNE
mlj	all	sʌb	sob	SEP
mud	all	suboi̯	suboi	SYPU
rui	month	maina	maina	MANA
grp	month	mai̯na	maina	MANA
ght	month	mai̯na	maina	MANA
glb	month	mai̯na	maina	MANA
ktg	month	mai̯na	maina	MANA
dog	month	mahina	mahina	MAHINA
mdh	month	mai̯na	maina	MANA
mku	month	mai̯na	maina	MANA
gni	month	mahina	mahina	MAHINA
lxg	month	maʌɪ̯nʌ	maoino	MANE
get	month	nɛla	nEla	NELA
gut	month	mahɪnʌ	mahino	MAHINE
gja	month	mahina	mahina	MAHINA
gbh	month	nele	nele	NELE
mal	month	nela	nela	NELA
mbh	month	nelˑla	nella	NELLA
mad	month	nela	nela	NELA
gtd	month	mahena	mahena	MAHENA
gba	month	nɛlla	nElla	NELA
gkt	month	mai̯na	maina	MANA
gok	month	mai̯na	maina	MANA
psh	month	mai̯na	maina	MANA
pmd	month	mena	mena	MENA
pkh	month	mai̯na	maina	MANA
gcj	month	mai̯na	maina	MANA
ggg	month	mehinə	mehin3	MEHINE
khu	month	mehɛna	mehEna	MEHENA
bhe	month	mehɛna	mehEna	MEHENA
prg	month	maina	maina	MANA
gka	month	mahina	mahina	MAHINA
gse	month	mahina	mahina	MAHINA
gra	month	mahina	mahina	MAHINA
gki	month	maina	maina	MANA
gar	month	maina	maina	MANA
gam	month	maihɛna	maihEna	MAHENA
gwa	month	maina	maina	MANA
gch	month	maine	maine	MANE
gdh	month	mainə	main3	MANE
goa	month	nɛla	nEla	NELA
met	month	mahina	mahina	MAHINA
bhm	month	leːɲdʒ	le5dZ	LENTS
bhs	month	leːɲdʒ	le5dZ	LENTS
bhb	month	t̪oleːɲdʒ	tole5dZ	TULENTS
mso	month	nʌlendʒ	nolendZ	NELENTS
mlj	month	mehena	mehena	MEHENA
mud	month	mʌhna	mohna	MEHNA
rui	morning	səkre	s3kre	SEKRE
grp	morning	sʌkarai̯	sokarai	SEKARA
ght	morning	sʌkare	sokare	SEKARE
glb	morning	sakarʌ	sakaro	SAKARE
ktg	morning	narkeliŋ	narkeliN	NARKELIN
dog	morning	sakɾi	sakri	SAKRI
mdh	morning	sʌkʌrʌ	sokoro	SEKERE
mku	morning	sʌkaliŋ	sokaliN	SEKALIN
gni	morning	sʌkʌɽe	sokore	SEKERE
lxg	morning	sʌkrɛ	sokrE	SEKRE
get	morning	hʌkri	hokri	HEKRI
gut	morning	sʌkɾɛ	sokrE	SEKRE
gja	morning	sʌkrei̯	sokrei	SEKRE
gbh	morning	akˑedu(ku)	akeduku	AKETYKY
mal	morning	nʌkʌmi	nokomi	NEKEMI
mbh	morning	nakˑami	nakami	NAKAMI
mad	morning	sʌkerə	soker3	SEKERE
gtd	morning	sʌkade	sokade	SEKATE
gba	morning	(h)ʌkrei	hokrei	HEKRE
gkt	morning	səkare	s3kare	SEKARE
gok	morning	narki	narki	NARKI
psh	morning	sʌkare	sokare	SEKARE
pmd	morning	sakare	sakare	SAKARE
pkh	morning	sʌrke	sorke	SERKE
gcj	morning	sʌkari	sokari	SEKARI
ggg	morning	suba	suba	SYPA
khu	morning	sakaɖey	sakadei	SAKATE
bhe	morning	səkare	s3kare	SEKARE
prg	morning	sakali	sakali	SAKALI
gka	morning	səkaɖek	s3kadek	SEKATEK
gse	morning	saɾkarɛt	sarkarEt	SARKARET
gra	morning	sakəri̯	sak3ri	SAKERI
gki	morning	sakɾi	sakri	SAKRI
gar	morning	sakaɖey	sakadei	SAKATE
gam	morning	sakar	sakar	SAKAR
gwa	morning	səkare	s3kare	SEKARE
gch	morning	sakeɭey	sakeLei	SAKELE
gdh	morning	səkəɖey	s3k3dei	SEKETE
goa	morning	hakɾe	hakre	HAKRE
met	morning	sʌkɾi̯	sokri	SEKRI
bhm	morning	nʌrkoːm	norkom	NERKUM
bhs	morning	nʌrkoːm	norkom	NERKUM
bhb	morning	nʌɾkoːm	norkom	NERKUM
mso	morning	nʌkkai	nokkai	NEKA
mlj	morning	nalkai̯	nalkai	NALKA
mud	morning	nʌɾki	norki	NERKI
rui	breast	tsʰi̯ati	tsh~iati	TSITI
grp	breast	tʃati	tSati	TSATI
ght	breast	tʃati	tSati	TSATI
glb	breast	tʃati	tSati	TSATI
ktg	breast	tʃati	tSati	TSATI
dog	breast	ʃi̯ati	Siati	SITI
mdh	breast	tʃati	tSati	TSATI
mku	breast	sati	sati	SATI
gni	breast	d̪ud̪o	dudo	TYTU
lxg	breast	d̪uˑd̪ɔ	dudo	TYTU
get	breast	dudo	dudo	TYTU
gut	breast	tsaˑt̪ʰi	tsath~i	TSATI
gja	breast	dudo	dudo	TYTU
gbh	breast	bʰomˑu	bh~omu	PUMY
mal	breast	boku,ariul	boku, ariul	PUKY, ARIL
mbh	breast	bokˑu	boku	PUKY
mad	breast	boko,aɾiuli	boko, ariuli	PUKU, ARILI
gtd	breast	sina	sina	SINA
gba	breast	dudo	dudo	TYTU
gkt	breast	tʃati	tSati	TSATI
gok	breast	sati	sati	SATI
psh	breast	tʃati	tSati	TSATI
pmd	breast	-----	-----	-----
pkh	breast	tʃati	tSati	TSATI
gcj	breast	paɾ	par	PAR
ggg	breast	tʃata	tSata	TSATA
khu	breast	tʃata	tSata	TSATA
bhe	breast	tʃati	tSati	TSATI
prg	breast	tʃati	tSati	TSATI
gka	breast	tʃʰat̪i	tSh~ati	TSATI
gse	breast	tʃʰat̪i	tSh~ati	TSATI
gra	breast	sat̪ʰi	sath~i	SATI
gki	breast	tʃati	tSati	TSATI
gar	breast	tʃati	tSati	TSATI
gam	breast	mau	mau	MA
gwa	breast	tʃati	tSati	TSATI
gch	breast	tʃati	tSati	TSATI
gdh	breast	tʃati	tSati	TSATI
goa	breast	boku,d̪udo	boku, dudo	PUKY, TYTU
met	breast	hʌai̯	hoai	HE
bhm	breast	bomːʌ	bomo	PUME
bhs	breast	bomːʌ	bomo	PUME
bhb	breast	-----	-----	-----
mso	breast	d̪ud̪õ	dudo	TYTU
mlj	breast	pal	pal	PAL
mud	breast	pal	pal	PAL
rui	many	lailəi,wəle	lail3i, w3le	LALE, WELE
grp	many	lʌɡit	logit	LEKIT
ght	many	wʌle	wole	WELE
glb	many	wʌle	wole	WELE
ktg	many	ɡundʒemʌnda	gundZemonda	KYNTSEMENTA
dog	many	laji	layi	LAJI
mdh	many	luɡet	luget	LYKET
mku	many	walen	walen	WALEN
gni	many	vɛliɛ	vEliE	BELI
lxg	many	vɛlːɛ	vElE	BELE
get	many	vɛleko	vEleko	BELEKU
gut	many	vɛlːɛ	vElE	BELE
gja	many	velek	velek	BELEK
gbh	many	u̯elle	uelle	YLE
mal	many	vela(m)	velam	BELAM
mbh	many	bʰaɡa	bh~aga	PAKA
mad	many	uɛlanɡo	uElango	YLANKU
gtd	many	wale	wale	WALE
gba	many	vɛlɛn	vElEn	BELEN
gkt	many	lai̯(suŋ)	laisuN	LASYN
gok	many	nakte	nakte	NAKTE
psh	many	wəle	w3le	WELE
pmd	many	wole	wole	WULE
pkh	many	wəle	w3le	WELE
gcj	many	woli	woli	WULI
ggg	many	dʒada	dZada	TSATA
khu	many	wəlley	w3llei	WELE
bhe	many	wəley	w3lei	WELE
prg	many	wəlai	w3lai	WELA
gka	many	ʃʌle	Sole	SELE
gse	many	wʌɭei̯	woLei	WELE
gra	many	βeɭi	beLi	BELI
gki	many	bʌkʌm,lei̯	bokom, lei	PEKEM, LE
gar	many	ləi,dʒasti	l3i, dZasti	LE, TSASTI
gam	many	dʒasti	dZasti	TSASTI
gwa	many	dʒada,dʒasti	dZada, dZasti	TSATA, TSASTI
gch	many	-----	-----	-----
gdh	many	wəlley	w3llei	WELE
goa	many	velːe	vele	BELE
met	many	vela	vela	BELA
bhm	many	d̪ibe	dibe	TIPE
bhs	many	naɾɡe	narge	NARKE
bhb	many	nʌɾɡe	norge	NERKE
mso	many	dau̯kka	daukka	TAKA
mlj	many	ʌtʃhai̯	otShai	ETSHA
mud	many	nekʌnai̯	nekonai	NEKENA
rui	sky	habar	habar	HAPAR
grp	sky	bʌdli	bodli	PETLI
ght	sky	akaʃ,bʌdʌle	akaS, bodole	AKAS, PETELE
glb	sky	abar	abar	APAR
ktg	sky	badɛl	badEl	PATEL
dog	sky	habarʰ	habarh~	HAPAR
mdh	sky	abar	abar	APAR
mku	sky	abar	abar	APAR
gni	sky	abaɽ	abar	APAR
lxg	sky	aːbar	abar	APAR
get	sky	mʌbu	mobu	MEPY
gut	sky	aːbʌl	abol	APEL
gja	sky	mʌbu,dʒaburʔ	mobu, dZabur7	MEPY, TSAPYRH
gbh	sky	mabʰˑu	mabh~u	MAPY
mal	sky	pokʌtabʰumi	pokotabh~umi	PUKETAPYMI
mbh	sky	mabʰu	mabh~u	MAPY
mad	sky	bʰumidisita	bh~umidisita	PYMITISITA
gtd	sky	badʌl	badol	PATEL
gba	sky	bʰumi	bh~umi	PYMI
gkt	sky	badʌl	badol	PATEL
gok	sky	badʌl	badol	PATEL
psh	sky	badur	badur	PATYR
pmd	sky	badʌr	bador	PATER
pkh	sky	badʌr	bador	PATER
gcj	sky	-----	-----	-----
ggg	sky	bədəli	b3d3li	PETELI
khu	sky	bədli	b3dli	PETLI
bhe	sky	asmani,akaʃ	asmani, akaS	ASMANI, AKAS
prg	sky	akaʃ	akaS	AKAS
gka	sky	abaɽ	abar	APAR
gse	sky	abaɾ	abar	APAR
gra	sky	habaɾ	habar	HAPAR
gki	sky	habaɾ	habar	HAPAR
gar	sky	abar	abar	APAR
gam	sky	akas	akas	AKAS
gwa	sky	abar	abar	APAR
gch	sky	bədʌl	b3dol	PETEL
gdh	sky	-----	-----	-----
goa	sky	mabuʔ	mabu7	MAPYH
met	sky	bɦumi	bhumi	PHYMI
bhm	sky	-----	-----	-----
bhs	sky	mʌb	mob	MEP
bhb	sky	-----	-----	-----
mso	sky	kuhɾa	kuhra	KYHRA
mlj	sky	-----	-----	-----
mud	sky	bum	bum	PYM
rui	die	sat̪or,sam	sator, sam	SATUR, SAM
grp	die	worsatʌr,saivm	worsator, saivm	WURSATER, SABM
ght	die	worsutur,sam	worsutur, sam	WURSYTYR, SAM
glb	die	worsatul,sam	worsatul, sam	WURSATYL, SAM
ktg	die	hatur,ham	hatur, ham	HATYR, HAM
dog	die	satoɾ,sam	sator, sam	SATUR, SAM
mdh	die	hatur,han	hatur, han	HATYR, HAN
mku	die	hatur,ham	hatur, ham	HATYR, HAM
gni	die	saːt̪or,sam	sator, sam	SATUR, SAM
lxg	die	sat̪or,saim	sator, saim	SATUR, SAM
get	die	hator,hʌm	hator, hom	HATUR, HEM
gut	die	saːt̪ʌ	sato	SATE
gja	die	hatur,ham	hatur, ham	HATYR, HAM
gbh	die	hai(madʔ)	haimad7	HAMATH
mal	die	hator,hʌm	hator, hom	HATUR, HEM
mbh	die	ɖolt̪a	dolta	TULTA
mad	die	hato,ham	hato, ham	HATU, HAM
gtd	die	sasimatol,sasihen	sasimatol, sasihen	SASIMATUL, SASIHEN
gba	die	hator,ham	hator, ham	HATUR, HAM
gkt	die	sasimatol,sasena	sasimatol, sasena	SASIMATUL, SASENA
gok	die	hatur,ham	hatur, ham	HATYR, HAM
psh	die	worsasimatorm	worsasimatorm	WURSASIMATURM
pmd	die	sasital,sasun	sasital, sasun	SASITAL, SASYN
pkh	die	horsasimatol	horsasimatol	HURSASIMATUL
gcj	die	horsasitoɭ,sasim	horsasitoL, sasim	HURSASITUL, SASIM
ggg	die	orsatur,sam	orsatur, sam	URSATYR, SAM
khu	die	orsatur,sasəm	orsatur, sas3m	URSATYR, SASEM
bhe	die	orsatur,sasimsam	orsatur, sasimsam	URSATYR, SASIMSAM
prg	die	olsatur,sase	olsatur, sase	ULSATYR, SASE
gka	die	satur,saʃən	satur, saS3n	SATYR, SASEN
gse	die	sat̪ur,saɾmar	satur, sarmar	SATYR, SARMAR
gra	die	sat̪oɾ,sam	sator, sam	SATUR, SAM
gki	die	sat̪oɾ,sam	sator, sam	SATUR, SAM
gar	die	sasimatursatur,sasihən	sasimatursatur, sasih3n	SASIMATYRSATYR, SASIHEN
gam	die	sasimatur,sasihən	sasimatur, sasih3n	SASIMATYR, SASIHEN
gwa	die	sasitul,sasən	sasitul, sas3n	SASITYL, SASEN
gch	die	-----	-----	-----
gdh	die	satur,sasɔm	satur, sasom	SATYR, SASUM
goa	die	hator,hatʌ	hator, hato	HATUR, HATE
met	die	dolit̪or,nimdola	dolitor, nimdola	TULITUR, NIMTULA
bhm	die	ɖolːʌ	dolo	TULE
bhs	die	dolːa	dola	TULA
bhb	die	dolːa	dola	TULA
mso	die	ham	ham	HAM
mlj	die	hʌm	hom	HEM
mud	die	ham	ham	HAM
rui	wind	wəɖi	w3di	WETI
grp	wind	wali	wali	WALI
ght	wind	woli	woli	WULI
glb	wind	wadi	wadi	WATI
ktg	wind	woli	woli	WULI
dog	wind	waɖi	wadi	WATI
mdh	wind	wari	wari	WARI
mku	wind	wʌri	wori	WERI
gni	wind	vaɖi	vadi	BATI
lxg	wind	wʌɖi	wodi	WETI
get	wind	wʌri	wori	WERI
gut	wind	vaɖi	vadi	BATI
gja	wind	haua	haua	HA
gbh	wind	u̯adi	uadi	YTI
mal	wind	wʌdiu	wodiu	WETI
mbh	wind	vadiuˑ	vadiu	BATI
mad	wind	waɖɪu	wadiu	WATI
gtd	wind	vadi	vadi	BATI
gba	wind	wʌɖi	wodi	WETI
gkt	wind	hawa	hawa	HAWA
gok	wind	wʌri	wori	WERI
psh	wind	hawa	hawa	HAWA
pmd	wind	wari	wari	WARI
pkh	wind	hawa	hawa	HAWA
gcj	wind	wari	wari	WARI
ggg	wind	wəɖi	w3di	WETI
khu	wind	wəɖi	w3di	WETI
bhe	wind	wəɖi	w3di	WETI
prg	wind	wəɖi	w3di	WETI
gka	wind	hawa	hawa	HAWA
gse	wind	wʌɖi	wodi	WETI
