Language	Concept	IPA	ASJP	SCA
gcj	cloud	badʌl	badol	PATEL
ggg	cloud	bədli	b3dli	PETLI
khu	cloud	bədli	b3dli	PETLI
bhe	cloud	bədli	b3dli	PETLI
prg	cloud	bədla	b3dla	PETLA
gka	cloud	dhəɡʰ	dh3gh~	THEK
gse	cloud	dɦəɡɦ	dh3gh	THEKH
gra	cloud	habaɾat̪a	habarata	HAPARATA
gki	cloud	dʰəɡ	dh~3g	TEK
gar	cloud	badl	badl	PATL
gam	cloud	aβar	abar	ABAR
gwa	cloud	bədli	b3dli	PETLI
gch	cloud	bədəli	b3d3li	PETELI
gdh	cloud	badəl	bad3l	PATEL
goa	cloud	mabuʔ	mabu7	MAPYH
met	cloud	maʔul	ma7ul	MAHYL
bhm	cloud	mojoːl	moyol	MUJUL
bhs	cloud	mojːoːl	moyol	MUJUL
bhb	cloud	mojːoːl	moyol	MUJUL
mso	cloud	kuhɾa	kuhra	KYHRA
mlj	cloud	bad̪eɾ	bader	PATER
mud	cloud	-----	-----	-----
rui	broken	wort̪a	worta	WURTA
grp	broken	ortal	ortal	URTAL
ght	broken	numtal	numtal	NYMTAL
glb	broken	wʌruntu	woruntu	WERYNTY
ktg	broken	worta	worta	WURTA
dog	broken	worta	worta	WURTA
mdh	broken	orta	orta	URTA
mku	broken	worta	worta	WURTA
gni	broken	βort̪a	borta	BURTA
lxg	broken	wort̪ʌ	worto	WURTE
get	broken	pait̪ha,orta	paitha, orta	PATHA, URTA
gut	broken	uɾuŋtʌ	uruNto	YRYNTE
gja	broken	(ɡʌndʒə)orta	gondZ3orta	KENTSEURTA
gbh	broken	uɾuɡʰi	urugh~i	YRYKI
mal	broken	varita	varita	BARITA
mbh	broken	u̯iɾɣt̪e	uirxte	YRGTE
mad	broken	woŋ(ʃet̪ʌ)	woNSeto	WUNSETE
gtd	broken	warta	warta	WARTA
gba	broken	paitha	paitha	PATHA
gkt	broken	urt̪a	urta	YRTA
gok	broken	worta	worta	WURTA
psh	broken	wartaɭ	wartaL	WARTAL
pmd	broken	warsit	warsit	WARSIT
pkh	broken	wartaɭ	wartaL	WARTAL
gcj	broken	urtul	urtul	YRTYL
ggg	broken	ortal	ortal	URTAL
khu	broken	urtal	urtal	YRTAL
bhe	broken	orsita	orsita	URSITA
prg	broken	orsat	orsat	URSAT
gka	broken	woɾtu	wortu	WURTY
gse	broken	numtaɭ	numtaL	NYMTAL
gra	broken	t̪iut̪a	tiuta	TITA
gki	broken	woɾt̪a	worta	WURTA
gar	broken	wortal	wortal	WURTAL
gam	broken	ortal	ortal	URTAL
gwa	broken	wortal	wortal	WURTAL
gch	broken	orsat	orsat	URSAT
gdh	broken	urunta	urunta	YRYNTA
goa	broken	urʌnt̪a	uronta	YRENTA
met	broken	ʋeɾit̪a	werita	WERITA
bhm	broken	uɾuŋɡt̪ʌ	uruNgto	YRYNKTE
bhs	broken	oːɾʈi	orti	URTI
bhb	broken	uɾuŋt̪a	uruNta	YRYNTA
mso	broken	oht̪t̪u	ohttu	UHTY
mlj	broken	oɾt̪a	orta	URTA
mud	broken	ʌɾo	oro	ERU
rui	how_many	bəsle	b3sle	PESLE
grp	how_many	bʌdʒele	bodZele	PETSELE
ght	how_many	bʌtʃuŋɡ	botSuNg	PETSYNK
glb	how_many	bʌtʃo	botSo	PETSU
ktg	how_many	bʌtʃokʰ	botSokh~	PETSUK
dog	how_many	bʌtʃʌɭe	botSoLe	PETSELE
mdh	how_many	bʌtʃo	botSo	PETSU
mku	how_many	bʌtʃo	botSo	PETSU
gni	how_many	bʌtʃole	botSole	PETSULE
lxg	how_many	bʌtʃəlɛ	botS3lE	PETSELE
get	how_many	bʌtʃʌku	botSoku	PETSEKY
gut	how_many	bʌtʃʰol	botSh~ol	PETSUL
gja	how_many	bətsʃok	b3tsSok	PETSSUK
gbh	how_many	bʰatʃun	bh~atSun	PATSYN
mal	how_many	betʃoku	betSoku	PETSUKY
mbh	how_many	bʰtʃoku	bh~tSoku	PTSUKY
mad	how_many	bʌtʃot,bʌtʃun	botSot, botSun	PETSUT, PETSYN
gtd	how_many	batʃuŋe	batSuNe	PATSYNE
gba	how_many	bʌtʃok	botSok	PETSUK
gkt	how_many	batʃu	batSu	PATSY
gok	how_many	bʌtʃon	botSon	PETSUN
psh	how_many	bʌtʃər	botS3r	PETSER
pmd	how_many	bʌtʃʌr	botSor	PETSER
pkh	how_many	bʌtʃər	botS3r	PETSER
gcj	how_many	bʌtʃər	botS3r	PETSER
